#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
 29   , 9/12/2021, 4: 1: 0 PM,   3,   3,   5,    0,  400
 30   , 9/12/2021, 4: 2: 0 PM,   4,   4,   4,    0,  400
 31   , 9/12/2021, 4: 3: 0 PM,   3,   5,   6,    0,  400
 32   , 9/12/2021, 4: 4: 0 PM,   3,   4,   5,    0,  400
 33   , 9/12/2021, 4: 5: 0 PM,   2,   3,   3,    0,  400
 34   , 9/12/2021, 4: 6: 0 PM,   2,   3,   4,    0,  400
 35   , 9/12/2021, 4: 7: 0 PM,   3,   5,   7,    0,  400
 36   , 9/12/2021, 4: 8: 0 PM,   4,   6,   6,    0,  400
 37   , 9/12/2021, 4: 9: 0 PM,   5,   6,   6,    0,  400
 38   , 9/12/2021, 4:10: 0 PM,   2,   3,   3,    0,  400
 39   , 9/12/2021, 4:11: 0 PM,   1,   2,   2,    0,  400
 40   , 9/12/2021, 4:12: 0 PM,   4,   6,   6,    0,  400
 41   , 9/12/2021, 4:13: 0 PM,   3,   3,   5,    0,  400
 42   , 9/12/2021, 4:14: 0 PM,   3,   5,   5,    0,  400
 43   , 9/12/2021, 4:15: 0 PM,   2,   3,   3,    0,  400
 44   , 9/12/2021, 4:16: 0 PM,   3,   4,   5,    0,  400
 45   , 9/12/2021, 4:17: 0 PM,   2,   3,   4,    0,  400
 46   , 9/12/2021, 4:18: 0 PM,   3,   4,   5,    0,  400
 47   , 9/12/2021, 4:19: 0 PM,   1,   3,   3,    0,  400
 48   , 9/12/2021, 4:20: 0 PM,   3,   4,   5,    0,  400
 49   , 9/12/2021, 4:21: 0 PM,   5,   7,  10,    0,  400
 50   , 9/12/2021, 4:22: 0 PM,   3,   5,   6,    0,  400
 51   , 9/12/2021, 4:23: 0 PM,   3,   5,   5,    0,  400
 52   , 9/12/2021, 4:24: 0 PM,   4,   6,   9,    0,  400
 53   , 9/12/2021, 4:25: 0 PM,   3,   3,   5,    0,  400
 54   , 9/12/2021, 4:26: 0 PM,   5,   6,   6,    0,  400
 55   , 9/12/2021, 4:27: 0 PM,   4,   5,   6,    0,  400
 56   , 9/12/2021, 4:28: 0 PM,   4,   5,   5,    0,  400
 57   , 9/12/2021, 4:29: 0 PM,   2,   4,   6,    0,  400
 58   , 9/12/2021, 4:30: 0 PM,   3,   4,   5,    0,  400
 59   , 9/12/2021, 4:31: 0 PM,   5,   6,   6,    0,  400
 60   , 9/12/2021, 4:32: 0 PM,   4,   5,   7,    0,  400
 61   , 9/12/2021, 4:33: 0 PM,   4,   5,   5,    0,  400
 62   , 9/12/2021, 4:34: 0 PM,   3,   5,   5,    0,  400
 63   , 9/12/2021, 4:35: 0 PM,   3,   4,   4,    0,  400
 64   , 9/12/2021, 4:36: 0 PM,   3,   6,   6,    0,  400
 65   , 9/12/2021, 4:37: 0 PM,   2,   4,   4,    0,  400
 66   , 9/12/2021, 4:38: 0 PM,   3,   4,   6,    0,  400
 67   , 9/12/2021, 4:39: 0 PM,   3,   3,   3,    0,  400
 68   , 9/12/2021, 4:40: 0 PM,   3,   4,   4,    0,  400
 69   , 9/12/2021, 4:41: 0 PM,   4,   6,   7,    0,  400
 70   , 9/12/2021, 4:42: 0 PM,   4,   6,   6,    0,  400
 71   , 9/12/2021, 4:43: 0 PM,   3,   3,   6,    0,  400
 72   , 9/12/2021, 4:44: 0 PM,   4,   7,  12,    0,  400
 73   , 9/12/2021, 4:45: 0 PM,   3,   4,   4,    0,  400
 74   , 9/12/2021, 4:46: 0 PM,   2,   2,   4,    0,  400
 75   , 9/12/2021, 4:47: 0 PM,   3,   5,   6,    0,  400
 76   , 9/12/2021, 4:48: 0 PM,   3,   3,   3,    0,  400
 77   , 9/12/2021, 4:49: 0 PM,   3,   4,   4,    0,  400
 78   , 9/12/2021, 4:50: 0 PM,   2,   3,   3,    0,  400
 79   , 9/12/2021, 4:51: 0 PM,   4,   5,   7,    0,  400
 80   , 9/12/2021, 4:52: 0 PM,   2,   3,  10,    0,  400
 81   , 9/12/2021, 4:53: 0 PM,   3,   3,   3,    0,  400
 82   , 9/12/2021, 4:54: 0 PM,   2,   3,   3,    0,  400
 83   , 9/12/2021, 4:55: 0 PM,   3,   6,   6,    0,  400
 84   , 9/12/2021, 4:56: 0 PM,   3,   4,   4,    0,  400
 85   , 9/12/2021, 4:57: 0 PM,   3,   5,   5,    0,  400
 86   , 9/12/2021, 4:58: 0 PM,   2,   2,   2,    0,  400
 87   , 9/12/2021, 4:59: 0 PM,   1,   2,   2,    0,  400
 88   , 9/12/2021, 5: 0: 0 PM,   1,   1,   1,    0,  400
 89   , 9/12/2021, 5: 1: 0 PM,   2,   4,   6,    0,  400
 90   , 9/12/2021, 5: 2: 0 PM,   0,   1,   1,    0,  400
 91   , 9/12/2021, 5: 3: 0 PM,   1,   1,   1,    0,  400
 92   , 9/12/2021, 5: 4: 0 PM,   2,   2,   4,    0,  400
 93   , 9/12/2021, 5: 5: 0 PM,   2,   3,   3,    0,  400
 94   , 9/12/2021, 5: 6: 0 PM,   1,   2,   2,    0,  400
 95   , 9/12/2021, 5: 7: 0 PM,   1,   2,   2,    0,  400
 96   , 9/12/2021, 5: 8: 0 PM,   1,   1,   1,    0,  400
 97   , 9/12/2021, 5: 9: 0 PM,   0,   1,   1,    0,  400
 98   , 9/12/2021, 5:10: 0 PM,   1,   3,   5,    0,  400
 99   , 9/12/2021, 5:11: 0 PM,   2,   3,   3,    0,  400
 100  , 9/12/2021, 5:12: 0 PM,   1,   3,   3,    0,  400
 101  , 9/12/2021, 5:13: 0 PM,   3,   3,   3,    0,  400
 102  , 9/12/2021, 5:14: 0 PM,   3,   3,   3,    0,  400
 103  , 9/12/2021, 5:15: 0 PM,   3,   6,   6,    0,  400
 104  , 9/12/2021, 5:16: 0 PM,   2,   3,   3,    0,  400
 105  , 9/12/2021, 5:17: 0 PM,   2,   2,   4,    0,  400
 106  , 9/12/2021, 5:18: 0 PM,   4,   5,   5,    0,  400
 107  , 9/12/2021, 5:19: 0 PM,   2,   3,   3,    0,  400
 108  , 9/12/2021, 5:20: 0 PM,   2,   3,   5,    0,  400
 109  , 9/12/2021, 5:21: 0 PM,   2,   4,   4,    0,  400
 110  , 9/12/2021, 5:22: 0 PM,   6,  12,  14,    0,  400
 111  , 9/12/2021, 5:23: 0 PM,   5,   6,   6,    0,  400
 112  , 9/12/2021, 5:24: 0 PM,   5,   6,  10,    0,  400
 113  , 9/12/2021, 5:25: 0 PM,   4,   6,   6,    0,  400
 114  , 9/12/2021, 5:26: 0 PM,   4,   5,   6,    0,  400
 115  , 9/12/2021, 5:27: 0 PM,   5,   6,   7,    0,  400
 116  , 9/12/2021, 5:28: 0 PM,   4,   5,   8,    0,  400
 117  , 9/12/2021, 5:29: 0 PM,   3,   3,   3,    0,  400
 118  , 9/12/2021, 5:30: 0 PM,   3,   5,   6,    0,  400
 119  , 9/12/2021, 5:31: 0 PM,   4,   6,   8,    0,  400
 120  , 9/12/2021, 5:32: 0 PM,   3,   4,   4,    0,  400
 121  , 9/12/2021, 5:33: 0 PM,   4,   6,   9,    0,  400
 122  , 9/12/2021, 5:34: 0 PM,   4,   5,   7,    0,  400
 123  , 9/12/2021, 5:35: 0 PM,   3,   4,   4,    0,  400
 124  , 9/12/2021, 5:36: 0 PM,   4,   4,   6,    0,  400
 125  , 9/12/2021, 5:37: 0 PM,   6,   7,   9,    0,  400
 126  , 9/12/2021, 5:38: 0 PM,   8,  11,  13,    0,  400
 127  , 9/12/2021, 5:39: 0 PM,   7,  10,  12,    0,  400
 128  , 9/12/2021, 5:40: 0 PM,   6,  10,  11,    0,  400
 129  , 9/12/2021, 5:41: 0 PM,   6,   9,   9,    0,  400
 130  , 9/12/2021, 5:42: 0 PM,   6,   9,  10,    0,  400
 131  , 9/12/2021, 5:43: 0 PM,   7,  10,  13,    0,  400
 132  , 9/12/2021, 5:44: 0 PM,   4,   6,   6,    0,  400
 133  , 9/12/2021, 5:45: 0 PM,   5,   7,   7,    0,  400
 134  , 9/12/2021, 5:46: 0 PM,   7,  10,  13,    0,  400
 135  , 9/12/2021, 5:47: 0 PM,   6,   8,  10,    0,  400
 136  , 9/12/2021, 5:48: 0 PM,   4,   5,   5,    0,  400
 137  , 9/12/2021, 5:49: 0 PM,   5,   7,   7,    0,  400
 138  , 9/12/2021, 5:50: 0 PM,   5,   9,  11,    0,  400
 139  , 9/12/2021, 5:51: 0 PM,   6,   7,   7,    0,  400
 140  , 9/12/2021, 5:52: 0 PM,   6,   8,   9,    0,  400
 141  , 9/12/2021, 5:53: 0 PM,   5,   6,   6,    0,  400
 142  , 9/12/2021, 5:54: 0 PM,   6,   8,   8,    0,  400
 143  , 9/12/2021, 5:55: 0 PM,   6,   8,   9,    0,  400
 144  , 9/12/2021, 5:56: 0 PM,   5,   9,  10,    0,  400
 145  , 9/12/2021, 5:57: 0 PM,   4,   6,   6,    0,  400
 146  , 9/12/2021, 5:58: 0 PM,   5,   6,   8,    0,  400
 147  , 9/12/2021, 5:59: 0 PM,   6,   8,   8,    0,  400
 148  , 9/12/2021, 6: 0: 0 PM,   4,   5,   5,    0,  400
 149  , 9/12/2021, 6: 1: 0 PM,   4,   6,   6,    0,  400
 150  , 9/12/2021, 6: 2: 0 PM,   4,   6,   6,    0,  400
 151  , 9/12/2021, 6: 3: 0 PM,   5,   5,   7,    0,  400
 152  , 9/12/2021, 6: 4: 0 PM,   3,   5,   5,    0,  400
 153  , 9/12/2021, 6: 5: 0 PM,   6,   9,  11,    0,  400
 154  , 9/12/2021, 6: 6: 0 PM,   6,   6,   9,    0,  400
 155  , 9/12/2021, 6: 7: 0 PM,   4,   5,   5,    0,  400
 156  , 9/12/2021, 6: 8: 0 PM,   5,   7,   7,    0,  400
 157  , 9/12/2021, 6: 9: 0 PM,   4,   6,   8,    0,  400
 158  , 9/12/2021, 6:10: 0 PM,   5,   5,   6,    0,  400
 159  , 9/12/2021, 6:11: 0 PM,   4,   5,   5,    0,  400
 160  , 9/12/2021, 6:12: 0 PM,   5,   7,   7,    0,  400
 161  , 9/12/2021, 6:13: 0 PM,   5,   7,   7,    0,  400
 162  , 9/12/2021, 6:14: 0 PM,   5,   6,   8,    0,  400
 163  , 9/12/2021, 6:15: 0 PM,   5,   8,   9,    0,  400
 164  , 9/12/2021, 6:16: 0 PM,   4,   5,   5,    0,  400
 165  , 9/12/2021, 6:17: 0 PM,   3,   4,   5,    0,  400
 166  , 9/12/2021, 6:18: 0 PM,   6,   9,   9,    0,  400
 167  , 9/12/2021, 6:19: 0 PM,   5,   6,   6,    0,  400
 168  , 9/12/2021, 6:20: 0 PM,   3,   5,   5,    0,  400
 169  , 9/12/2021, 6:21: 0 PM,   5,   7,   7,    0,  400
 170  , 9/12/2021, 6:22: 0 PM,   4,   5,   5,    0,  400
 171  , 9/12/2021, 6:23: 0 PM,   4,   5,   5,    0,  400
 172  , 9/12/2021, 6:24: 0 PM,   5,   7,   9,    0,  400
 173  , 9/12/2021, 6:25: 0 PM,   3,   5,   5,    0,  400
 174  , 9/12/2021, 6:26: 0 PM,   5,   7,   7,    0,  400
 175  , 9/12/2021, 6:27: 0 PM,   4,   5,   5,    0,  400
 176  , 9/12/2021, 6:28: 0 PM,   5,   7,   8,    0,  400
 177  , 9/12/2021, 6:29: 0 PM,   6,   6,   8,    0,  400
 178  , 9/12/2021, 6:30: 0 PM,   4,   6,   7,    0,  400
 179  , 9/12/2021, 6:31: 0 PM,   5,   7,   8,    0,  400
 180  , 9/12/2021, 6:32: 0 PM,   4,   5,   6,    0,  400
 181  , 9/12/2021, 6:33: 0 PM,   4,   6,   8,    0,  400
 182  , 9/12/2021, 6:34: 0 PM,   3,   4,   4,    0,  400
 183  , 9/12/2021, 6:35: 0 PM,   6,   8,   8,    0,  400
 184  , 9/12/2021, 6:36: 0 PM,   5,   6,   6,    0,  400
 185  , 9/12/2021, 6:37: 0 PM,   3,   4,   8,    0,  400
 186  , 9/12/2021, 6:38: 0 PM,   4,   5,   7,    0,  400
 187  , 9/12/2021, 6:39: 0 PM,   3,   5,   6,    0,  400
 188  , 9/12/2021, 6:40: 0 PM,   4,   5,   8,    0,  400
 189  , 9/12/2021, 6:41: 0 PM,   4,   5,   5,    0,  400
 190  , 9/12/2021, 6:42: 0 PM,   4,   4,   7,    0,  400
 191  , 9/12/2021, 6:43: 0 PM,   4,   5,   5,    0,  400
 192  , 9/12/2021, 6:44: 0 PM,   3,   5,   5,    0,  400
 193  , 9/12/2021, 6:45: 0 PM,   4,   5,   5,    0,  400
 194  , 9/12/2021, 6:46: 0 PM,   4,   5,   5,    0,  400
 195  , 9/12/2021, 6:47: 0 PM,   6,   7,   7,    0,  400
 196  , 9/12/2021, 6:48: 0 PM,   3,   4,   4,    0,  400
 197  , 9/12/2021, 6:49: 0 PM,   3,   4,   4,    0,  400
 198  , 9/12/2021, 6:50: 0 PM,   3,   3,   3,    0,  400
 199  , 9/12/2021, 6:51: 0 PM,   3,   5,   5,    0,  400
 200  , 9/12/2021, 6:52: 0 PM,   3,   5,   5,    0,  400
 201  , 9/12/2021, 6:53: 0 PM,   4,   5,   7,    0,  400
 202  , 9/12/2021, 6:54: 0 PM,   5,   8,   9,    0,  400
 203  , 9/12/2021, 6:55: 0 PM,   3,   4,   4,    0,  400
 204  , 9/12/2021, 6:56: 0 PM,   2,   3,   5,    0,  400
 205  , 9/12/2021, 6:57: 0 PM,   5,   7,   7,    0,  400
 206  , 9/12/2021, 6:58: 0 PM,   3,   5,   5,    0,  400
 207  , 9/12/2021, 6:59: 0 PM,   3,   5,   5,    0,  400
 208  , 9/12/2021, 7: 0: 0 PM,   3,   4,   4,    0,  400
 209  , 9/12/2021, 7: 1: 0 PM,   3,   4,   8,    0,  400
 210  , 9/12/2021, 7: 2: 0 PM,   3,   4,   5,    0,  400
 211  , 9/12/2021, 7: 3: 0 PM,   2,   3,   3,    0,  400
 212  , 9/12/2021, 7: 4: 0 PM,   2,   3,   4,    0,  400
 213  , 9/12/2021, 7: 5: 0 PM,   3,   6,   6,    0,  400
 214  , 9/12/2021, 7: 6: 0 PM,   3,   3,   4,    0,  400
 215  , 9/12/2021, 7: 7: 0 PM,   2,   3,   7,    0,  400
 216  , 9/12/2021, 7: 8: 0 PM,   3,   5,   5,    0,  400
 217  , 9/12/2021, 7: 9: 0 PM,   4,   4,   4,    0,  400
 218  , 9/12/2021, 7:10: 0 PM,   3,   3,   4,    0,  400
 219  , 9/12/2021, 7:11: 0 PM,   2,   3,   3,    0,  400
 220  , 9/12/2021, 7:12: 0 PM,   3,   5,   6,    0,  400
 221  , 9/12/2021, 7:13: 0 PM,   3,   5,   9,    0,  400
 222  , 9/12/2021, 7:14: 0 PM,   3,   4,   5,    0,  400
 223  , 9/12/2021, 7:15: 0 PM,   3,   4,   4,    0,  400
 224  , 9/12/2021, 7:16: 0 PM,   3,   3,   9,    3,  400
 225  , 9/12/2021, 7:17: 0 PM,   3,   4,   4,    1,  400
 226  , 9/12/2021, 7:18: 0 PM,   4,   5,   5,   12,  400
 227  , 9/12/2021, 7:19: 0 PM,   3,   4,   7,   16,  400
 228  , 9/12/2021, 7:20: 0 PM,   3,   3,   3,   17,  400
 229  , 9/12/2021, 7:21: 0 PM,   3,   5,   7,   14,  400
 230  , 9/12/2021, 7:22: 0 PM,   3,   4,   4,   20,  400
 231  , 9/12/2021, 7:23: 0 PM,   3,   5,   5,   26,  400
 232  , 9/12/2021, 7:24: 0 PM,   3,   4,   5,   36,  400
 233  , 9/12/2021, 7:25: 0 PM,   4,   7,  11,   35,  400
 234  , 9/12/2021, 7:26: 0 PM,   3,   5,   5,   38,  400
 235  , 9/12/2021, 7:27: 0 PM,   3,   4,   4,   32,  400
 236  , 9/12/2021, 7:28: 0 PM,   2,   3,   5,   25,  400
 237  , 9/12/2021, 7:29: 0 PM,   1,   2,   2,   43,  400
 238  , 9/12/2021, 7:30: 0 PM,   3,   3,   4,   35,  400
 239  , 9/12/2021, 7:31: 0 PM,   3,   4,   4,   44,  400
 240  , 9/12/2021, 7:32: 0 PM,   1,   1,   1,   39,  400
 241  , 9/12/2021, 7:33: 0 PM,   2,   3,   3,   47,  400
 242  , 9/12/2021, 7:34: 0 PM,   4,   4,   4,   39,  400
 243  , 9/12/2021, 7:35: 0 PM,   2,   3,   3,   49,  400
 244  , 9/12/2021, 7:36: 0 PM,   2,   3,   3,   39,  400
 245  , 9/12/2021, 7:37: 0 PM,   2,   2,   2,   53,  400
 246  , 9/12/2021, 7:38: 0 PM,   3,   4,   4,   46,  400
 247  , 9/12/2021, 7:39: 0 PM,   2,   2,   4,   38,  400
 248  , 9/12/2021, 7:40: 0 PM,   2,   3,   3,   55,  400
 249  , 9/12/2021, 7:41: 0 PM,   2,   2,   2,   45,  400
 250  , 9/12/2021, 7:42: 0 PM,   1,   1,   1,   60,  400
 251  , 9/12/2021, 7:43: 0 PM,   1,   1,   1,   57,  400
 252  , 9/12/2021, 7:44: 0 PM,   2,   2,   2,   53,  400
 253  , 9/12/2021, 7:45: 0 PM,   2,   2,   2,   62,  400
 254  , 9/12/2021, 7:46: 0 PM,   0,   0,   0,   66,  400
 255  , 9/12/2021, 7:47: 0 PM,   1,   1,   1,   64,  400
 256  , 9/12/2021, 7:48: 0 PM,   1,   1,   1,   63,  400
 257  , 9/12/2021, 7:49: 0 PM,   1,   1,   1,   81,  400
 258  , 9/12/2021, 7:50: 0 PM,   1,   1,   1,   98,  400
 259  , 9/12/2021, 7:51: 0 PM,   1,   2,   2,  119,  400
 260  , 9/12/2021, 7:52: 0 PM,   0,   0,   2,  128,  400
 261  , 9/12/2021, 7:53: 0 PM,   0,   0,   0,  127,  400
 262  , 9/12/2021, 7:54: 0 PM,   1,   1,   1,  136,  400
 263  , 9/12/2021, 7:55: 0 PM,   1,   1,   1,  137,  400
 264  , 9/12/2021, 7:56: 0 PM,   1,   1,   1,  149,  400
 265  , 9/12/2021, 7:57: 0 PM,   0,   0,   1,  142,  400
 266  , 9/12/2021, 7:58: 0 PM,   0,   1,   1,  142,  400
 267  , 9/12/2021, 7:59: 0 PM,   0,   0,   0,  142,  400
 268  , 9/12/2021, 8: 0: 0 PM,   0,   1,   1,  135,  400
 269  , 9/12/2021, 8: 1: 0 PM,   0,   0,   0,  132,  400
 270  , 9/12/2021, 8: 2: 0 PM,   1,   1,   1,  134,  400
 271  , 9/12/2021, 8: 3: 0 PM,   0,   0,   0,  137,  400
 272  , 9/12/2021, 8: 4: 0 PM,   1,   2,   3,  128,  400
 273  , 9/12/2021, 8: 5: 0 PM,   0,   0,   0,  124,  400
 274  , 9/12/2021, 8: 6: 0 PM,   1,   2,   2,  227,  601
 275  , 9/12/2021, 8: 7: 0 PM,   0,   0,   1,  254,  599
 276  , 9/12/2021, 8: 8: 0 PM,   0,   1,   1,  327,  782
 277  , 9/12/2021, 8: 9: 0 PM,   0,   0,   0,  359,  812
 278  , 9/12/2021, 8:10: 0 PM,   1,   1,   1,  364,  822
 279  , 9/12/2021, 8:11: 0 PM,   0,   0,   0,  361,  823
 280  , 9/12/2021, 8:12: 0 PM,   1,   1,   2,  358,  819
 281  , 9/12/2021, 8:13: 0 PM,   1,   1,   1,  370,  795
 282  , 9/12/2021, 8:14: 0 PM,   0,   1,   1,  365,  806
 283  , 9/12/2021, 8:15: 0 PM,   1,   1,   2,  359,  803
 284  , 9/12/2021, 8:16: 0 PM,   1,   1,   2,  346,  799
 285  , 9/12/2021, 8:17: 0 PM,   1,   1,   2,  325,  777
 286  , 9/12/2021, 8:18: 0 PM,   0,   1,   1,  354,  777
 287  , 9/12/2021, 8:19: 0 PM,   1,   1,   1,  337,  748
 288  , 9/12/2021, 8:20: 0 PM,   0,   0,   0,  302,  712
 289  , 9/12/2021, 8:21: 0 PM,   0,   1,   1,  319,  729
 290  , 9/12/2021, 8:22: 0 PM,   0,   0,   0,  316,  714
 291  , 9/12/2021, 8:23: 0 PM,   0,   1,   1,  307,  712
 292  , 9/12/2021, 8:24: 0 PM,   0,   0,   0,  321,  724
 293  , 9/12/2021, 8:25: 0 PM,   1,   1,   2,  299,  662
 294  , 9/12/2021, 8:26: 0 PM,   1,   1,   1,  281,  652
 295  , 9/12/2021, 8:27: 0 PM,   0,   0,   2,  271,  631
 296  , 9/12/2021, 8:28: 0 PM,   1,   1,   1,  259,  605
 297  , 9/12/2021, 8:29: 0 PM,   0,   1,   1,  247,  589
 298  , 9/12/2021, 8:30: 0 PM,   1,   1,   1,  247,  586
 299  , 9/12/2021, 8:31: 0 PM,   0,   0,   0,  255,  584
 300  , 9/12/2021, 8:32: 0 PM,   0,   0,   0,  232,  558
 301  , 9/12/2021, 8:33: 0 PM,   1,   1,   2,  240,  570
 302  , 9/12/2021, 8:34: 0 PM,   0,   0,   2,  234,  561
 303  , 9/12/2021, 8:35: 0 PM,   1,   1,   1,  226,  524
 304  , 9/12/2021, 8:36: 0 PM,   0,   1,   1,  232,  539
 305  , 9/12/2021, 8:37: 0 PM,   0,   0,   0,  214,  507
 306  , 9/12/2021, 8:38: 0 PM,   1,   1,   3,  207,  475
 307  , 9/12/2021, 8:39: 0 PM,   1,   1,   1,  214,  489
 308  , 9/12/2021, 8:40: 0 PM,   1,   1,   1,  197,  451
 309  , 9/12/2021, 8:41: 0 PM,   0,   0,   0,  197,  455
 310  , 9/12/2021, 8:42: 0 PM,   1,   1,   1,  192,  458
 311  , 9/12/2021, 8:43: 0 PM,   1,   1,   1,  194,  433
 312  , 9/12/2021, 8:44: 0 PM,   0,   1,   1,  186,  414
 313  , 9/12/2021, 8:45: 0 PM,   0,   1,   1,  181,  400
 314  , 9/12/2021, 8:46: 0 PM,   0,   0,   0,  177,  400
 315  , 9/12/2021, 8:47: 0 PM,   1,   1,   1,  165,  400
 316  , 9/12/2021, 8:48: 0 PM,   0,   0,   0,  163,  400
 317  , 9/12/2021, 8:49: 0 PM,   0,   0,   1,  167,  400
 318  , 9/12/2021, 8:50: 0 PM,   1,   1,   1,  148,  400
 319  , 9/12/2021, 8:51: 0 PM,   1,   2,   2,  157,  400
 320  , 9/12/2021, 8:52: 0 PM,   0,   0,   0,  144,  400
 321  , 9/12/2021, 8:53: 0 PM,   0,   0,   0,  144,  400
 322  , 9/12/2021, 8:54: 0 PM,   0,   0,   0,  131,  400
 323  , 9/12/2021, 8:55: 0 PM,   0,   0,   0,  130,  400
 324  , 9/12/2021, 8:56: 0 PM,   0,   0,   0,  116,  400
 325  , 9/12/2021, 8:57: 0 PM,   1,   1,   2,  133,  400
 326  , 9/12/2021, 8:58: 0 PM,   0,   0,   2,  222,  582
 327  , 9/12/2021, 8:59: 0 PM,   1,   1,   1,  190,  469
 328  , 9/12/2021, 9: 0: 0 PM,   1,   1,   2,  215,  584
 329  , 9/12/2021, 9: 1: 0 PM,   1,   3,   4,  212,  514
 330  , 9/12/2021, 9: 2: 0 PM,   2,   2,   6,  197,  506
 331  , 9/12/2021, 9: 3: 0 PM,   3,   4,   5,  178,  451
 332  , 9/12/2021, 9: 4: 0 PM,   4,   5,   5,  152,  400
 333  , 9/12/2021, 9: 5: 0 PM,   3,   5,   5,  139,  400
 334  , 9/12/2021, 9: 6: 0 PM,   3,   4,   6,  121,  400
 335  , 9/12/2021, 9: 7: 0 PM,   6,   8,   8,  106,  400
 336  , 9/12/2021, 9: 8: 0 PM,   5,   7,  10,   89,  400
 337  , 9/12/2021, 9: 9: 0 PM,   7,  10,  10,   85,  400
 338  , 9/12/2021, 9:10: 0 PM,   6,  10,  12,   64,  400
 339  , 9/12/2021, 9:11: 0 PM,   8,   9,  12,   50,  400
 340  , 9/12/2021, 9:12: 0 PM,   8,  10,  10,   26,  400
 341  , 9/12/2021, 9:13: 0 PM,   8,   9,  11,   16,  400
 342  , 9/12/2021, 9:14: 0 PM,   8,  14,  18,    0,  400
 343  , 9/12/2021, 9:15: 0 PM,   8,  10,  17,    0,  400
 344  , 9/12/2021, 9:16: 0 PM,   9,  10,  12,    0,  400
 345  , 9/12/2021, 9:17: 0 PM,   9,  14,  17,    0,  400
 346  , 9/12/2021, 9:18: 0 PM,   8,  15,  15,    0,  400
 347  , 9/12/2021, 9:19: 0 PM,   8,  12,  15,    0,  400
 348  , 9/12/2021, 9:20: 0 PM,  10,  12,  15,    0,  400
 349  , 9/12/2021, 9:21: 0 PM,   7,  10,  13,    0,  400
 350  , 9/12/2021, 9:22: 0 PM,   7,  12,  13,    0,  400
 351  , 9/12/2021, 9:23: 0 PM,   9,  11,  11,    0,  400
 352  , 9/12/2021, 9:24: 0 PM,   8,  11,  15,    0,  400
 353  , 9/12/2021, 9:25: 0 PM,   9,  13,  13,    0,  400
 354  , 9/12/2021, 9:26: 0 PM,  10,  14,  15,    0,  400
 355  , 9/12/2021, 9:27: 0 PM,   9,  12,  16,    0,  400
 356  , 9/12/2021, 9:28: 0 PM,  11,  15,  16,    0,  400
 357  , 9/12/2021, 9:29: 0 PM,   8,  10,  15,    0,  400
 358  , 9/12/2021, 9:30: 0 PM,  13,  21,  22,    0,  400
 359  , 9/12/2021, 9:31: 0 PM,  10,  16,  16,    0,  400
 360  , 9/12/2021, 9:32: 0 PM,  10,  17,  18,    0,  400
 361  , 9/12/2021, 9:33: 0 PM,   8,  12,  13,    0,  400
 362  , 9/12/2021, 9:34: 0 PM,   9,  13,  17,    0,  400
 363  , 9/12/2021, 9:35: 0 PM,  12,  17,  20,    0,  400
